Name,Location,Study Program,Sector,Rating,city,region
Campus.pk Lahore,"Office 206, 2nd Floor Siddique Trade Center Main Boulevard Gulberg III Lahore ",FSCEngineering FSCMedical,Private,0,Lahore,Punjab
Allama Iqbal Open University Aiou Islamabad,"Sector H  8, Islamabad  44000",FSCEngineering ICS ComputerScience FSCMedical Higher Secondary School Certificate ( FA    Dars  E  Nazami Group) Higher Secondary School Certificate ( FA    General Group) Icom FA,Public,5,Islamabad,Islamabad Capital Territory
Government College University Gcu Lahore,"GC University, Katchery Road Lahore 54000",FSCEngineering ICS ComputerScience FSCMedical F.A (Arts) F.A (General Science) I.Com,Public,4,Lahore,Punjab
Govt College University GCU Faisalabad,"Kotwali Rd, Faisalabad 38000",FSCEngineering ICS FSCMedical Icom FA FA General Science,Public,3,Faisalabad,Punjab
Lahore College For Women University (Lcwu) Lahore,"Near Wapda Flats, Jail Road, Lahore",FA Arts FSCEngineering ICS PhysICS ICS StatistICS ICS EconomICS FSCMedical F.A (Home EconomICS) F.A (General Science) F.Sc (Applied Psychology) Icom,Public,5,Lahore,Punjab
University Of Agriculture Faisalabad,"University of Agriculture, Agriculture University Road, Faisalabad, . Zip Code 38000.",FSCAgriculture,Public,5,Faisalabad,Punjab
Pir Mehr Ali Shah Arid Agriculture University Rawalpindi,"PMAS  Arid Agriculture University Rawalpindi, Shamsabad, Muree Road Rawalpindi    .",FSCAgriculture,Public,5,Rawalpindi,Punjab
International Islamic University Iiu Islamabad,"International Islamic University Sector H  10, Islamabad",FSCEngineering ICS FSCMedical Icom FA FA General Science,Public,5,Islamabad,Islamabad Capital Territory
Kinnaird College For Women Lahore,"93   Jail Road, Lahore",FSCEngineering ICS ICS StatistICS ICS PhysICS FSCMedical Icom FA Humanities FA General Science,Public,5,Lahore,Punjab
The Women University Multan,"Kutchery Campus, L.M.Q. Road, Multan.",FSCEngineering ICS FSCMedical General Science FA,Public,0,Multan,Punjab
Forman Christian College University Lahore,Ferozepur Road Lahore 54600 ,FSCEngineering ICS Computer Sciecne FSCMedical ICS StatistICS ICS PhysICS Icom FA Arts FA General Science,Private,4,Lahore,Punjab
Riphah International College Lahore,Head Office :28  M Quaid  e  Azam Industrial Estate Kot Lakhpat Lahore,FSCEngineering ICS FSCMedical Icom FA,Private,0,Lahore,Punjab
Punjab Group of Colleges PGC Lahore,"1 Noon Avenue, New Muslim Town at Canal Bank Lahore",FSCEngineering ICS ComputerScience FSCMedical FA General Science Icom,Private,2,Lahore,Punjab
"Queen Mary College, Lahore","2  Durrand Road Garhi Shahu, Lahore",FSCEngineering Intermediate in Home EconomICS ICS ComputerScience FSCMedical General Science Icom FA,Public,1,Lahore,Punjab
Superior University,"31 Tipu Block new Garden town Lahore kalma chowk. 17 km Main Raiwind Road, Lahore.",FSCEngineering ICS FSCMedical Icom FA,Public,4,Lahore,Punjab
University Of Peshawar,"Baragali Summer Campus, Peshawar",FSCEngineering FSCMedical FSC FA,Public,3.5,Peshawar,Khyber Pakhtunkhwa
Allama Iqbal Open University Lahore AIOU,"Regional Campus, Allama Iqbal Open University, 346 Raza Block, Allama Iqbal Town, LAHORE",Higher Secondary School Certificate (Dars  E  Nazami Group)  Intermediate in Commerce ICom Higher Secondary School Certificate (General Group),Public,5,Lahore,
Islamia College Peshawar,Islamia College Peshawar University Campus Peshawar Khyber Pakhtunkhwa ,FSCEngineering ICS FSCMedical FA ,Public,5,Peshawar,Khyber Pakhtunkhwa
Government Sadiq College Women University Bahawalpur,Cheema Town Near BISE Bahawalpur,FSCEngineering ICS FSCMedical Icom FA,Public,3,Bahawalpur,Punjab
Govt College of Science Wahdat Road Lahore,"Govt. College of Science, Wahdat Road Lahore, ",FSCEngineering ICS FSCMedical ICOM FA FA General Science,Public,3,Lahore,Punjab
Muhammad Nawaz Sharif University Of Agriculture Multan,"Sui gas Road, Old Shujaabad Road, Multan.",FSCAgriculture,Public,4.25,Multan,Punjab
Government College For Women University Gcwu Faisalabad,"Government College Women University, Shafique Road Faisalabad Zip Code 38000",FSCEngineering ICS FSCMedical Icom FA,Public,4,Faisalabad,Punjab
The University of Lahore,The University of Lahore 1  KM Raiwind Road Lahore ,FSCEngineering FSCMedical ,Private,3,Lahore,Punjab
Minhaj University Lahore,"Near Hamdard Chowk, Township, Lahore.",ICS FA FA General Science,Private,3.25,Lahore,Punjab
Lahore Garrison University (LGU),"Sector C, DHA Phase  VI Lahore",FSCEngineering ICS FSCMedical Icom FA,Private,5,Lahore,
Govt Islamia College Civil Lines Lahore,"Govt. Islamia College Civil Lines, Near Kuchari Lahore.",FSCEngineering ICS StatistICS ICS PhysICS FSCMedical Icom FA FA General Science,Public,2,Lahore,Punjab
Govt MAO College Lahore,Lower Mall Road Lahore opp Edcuation University,FSCEngineering ICS StatistICS ICS PhysICS FSCMedical FA Icom FA General Science,Public,4,Lahore,Punjab
Kips College Lahore,"30  A, Johar Town, Lahore",FSCEngineering ICS ComputerScience FSCMedical A level Icom FA,Private,4,Lahore,Punjab
Govt Post Graduate College for Women Satellite Town Rawalpindi,Satellite Town Rawalpindi,FA ICom FSCMedical FSCEngineering ICS,Public,2,Rawalpindi,Punjab
College of Tourism and Hotel Management COTHM Pakistan,"5  C Main Gulberg II, Ayesha Saddiqa Road (Behind EFU House) Jail Road, Lahore, ",Intermediate in Culinary Arts (PBTE) Intermediate in Hotel Operations (PBTE) ,Private,5,Laahore,
Shaheed Zulfiqar Ali Bhutto Medical University Islamabad,"PIMS, Islamabad",FSCMedical Laboratory Technology FSC Dental Hygiene Technology FSC Ophthalmology Technology FSCMedical Imaging Technology FSC Physiotherapy Technology FSC OT Technology ,Public,5,Islamabad,Islamabad Capital Territory
Pakistan Military Academy Abbottabad,"Kakul Road, Abbottabad",FA FSCMedical ICS ComputerScience ICom FSCEngineering,Public,5,Abbottabad,Khyber Pakhtunkhwa
University Of Balochistan Quetta,"Sariab Road, Quetta",FA FSCMedical ,Public,3.5,Quetta,Balochistan
Gift University Gujranwala,"GIFT University, Near GIFT University Chowk, Gujranwala   52250.",FSCEngineering FSCMedical ICS ComputerScience ICom Commerce FA,Private,4.5,Gujranwala,Punjab
Superior Group of Colleges Faisalabad,"103  C Peoples Colony  1, Faisalabad",Icom ICS ComputerScience FA FSCEngineering FSCMedical,Private,5,Faisalabad,Punjab
National Textile Institute NTI Islamabad,"18, Lukman Hakim Road G/6   3 Islamabad, ",I.TAF (INTERMEDIATE IN TEXTILE & FASHION DESIGNING),Private,0,Islamabad,Islamabad Capital Territory
Govt Post Graduate College For Women Satellite Town Gujranwala,Govt Post Graduate College For Women Satellite Town Gujranwala,FA FSCEngineering FSCMedical ICS FA General Science ICom,Public,3,Gujranwala,Punjab
Govt Post Graduate College Samanabad Faisalabad,Govt Post Graduate College Samanabad Faisalabad,FA ICS Icom FSCEngineering FSCMedical FA General Science,Public,0,Faisalabad,Punjab
Punjab Group of Colleges Rawalpindi,"D  464, 6th road, Satellite Town Rawalpindi",FA Icom ICS ComputerScience FSCMedical FSCEngineering FA General Science,Private,4,Rawalpindi,Punjab
Govt Viqar un Nisa College Rawalpindi,Govt Viqar un Nisa College Rawalpindi,FA Icom ICS FSCMedical FSCEngineering,Public,2,Rawalpindi,Punjab
COMSATS Institute of Information Technology Abbottabad,"CIIT Abbottabad Campus University Road, Tobe Camp",FA ICS ComputerScience Icom FSCEngineering FSCMedical,Public,3,Abbottabad,Khyber Pakhtunkhwa
Superior Group of Colleges Gujranwala,"7  8/A Small Industrial State, Main G.T. Road, Gujranwala.",FSCEngineering FSCMedical Icom FA ICS ComputerScience,Private,3,Gujranwala,Punjab
Allama Iqbal Open University AIOU Abbottabad.,"House No. CB 301, Adj. United Bank Ltd, Main Building Branch, Mansehra ",Icom ICS ComputerScience FSCEngineering FSCMedical FA,Public,0,Abbottabad.,
Pakistan Institute of Medical Technologies Islamabad,"Ghori Gardens Opposite Burma Pul, Street No. 3, Islamabad",FSCMedical FSC Dental Technology FSCMedical Laboratory Technology FSC Operation Theatre Technician FSC Ophthalmic Technician FSC Physiotherapy Technician FSC Radiologic Technology DAE Civil Technology DAE Electrical Technology DAE ElectronICS Technology,Private,0,Islamabad,Islamabad Capital Territory
Govt Frontier College for Women Peshawar,Govt Frontier College for Women Peshawar,FA FSCMedical FSCEngineering ,Public,4,Peshawar,Khyber Pakhtunkhwa
Govt College of Technology Raiwind Road Lahore,Dubai Town Raiwind Road Lahore,DAE Bio  medical DAE Civil Technology DAE Electrical Technology DAE ElectronICS Technology DAE Information Technology,Public,5,Lahore,Punjab
The City School,"TC / A, Street, 34, Khayaban  e  Rahat, Phase V, DHA, Karachi.",A Level,Private,0,Karachi,
Professionals Academy of Commerce Lahore PAC,"41 – T, GULBERG II, LAHORE",ICom,Private,4,Lahore,
